latitude,longitude,elevation
33.332434,77.58418,5534.0
33.332434,77.584898,5534.0
33.332434,77.585617,5384.0
33.332434,77.586336,5384.0
33.332434,77.587054,5384.0
33.332434,77.587773,5235.0
33.332434,77.588491,5235.0
33.332434,77.58921,5235.0
33.332434,77.589929,5078.0
33.332434,77.590647,5078.0
33.332434,77.591366,5078.0
33.332434,77.592085,4998.0
33.332434,77.592803,4998.0
33.332434,77.593522,4998.0
33.332434,77.594241,5034.0
33.332434,77.594959,5034.0
33.332434,77.595678,5034.0
33.332434,77.596397,5187.0
33.332434,77.597115,5187.0
33.332434,77.597834,5187.0
33.332434,77.598553,5294.0
33.332434,77.599271,5294.0
33.332434,77.59999,5294.0
33.332434,77.600709,5363.0
33.332434,77.601427,5363.0
33.332434,77.602146,5280.0
33.332434,77.602864,5280.0
33.332434,77.603583,5280.0
33.332434,77.604302,5114.0
33.332434,77.60502,5114.0
33.332434,77.605739,5114.0
33.332434,77.606458,5006.0
33.332434,77.607176,5006.0
33.332434,77.607895,5006.0
33.332434,77.608614,4924.0
33.332434,77.609332,4924.0
33.332434,77.610051,4924.0
33.332434,77.61077,4848.0
33.332434,77.611488,4848.0
33.332434,77.612207,4848.0
33.332434,77.612926,4760.0
33.332434,77.613644,4760.0
33.332434,77.614363,4760.0
33.332434,77.615081,4710.0
33.332434,77.6158,4710.0
33.332434,77.616519,4710.0
33.333152,77.571963,5303.0
33.333152,77.572681,5303.0
33.333152,77.5734,5341.0
33.333152,77.574119,5341.0
33.333152,77.574837,5341.0
33.333152,77.575556,5437.0
33.333152,77.576274,5437.0
33.333152,77.576993,5437.0
33.333152,77.577712,5562.0
33.333152,77.57843,5562.0
33.333152,77.579149,5562.0
33.333152,77.579868,5709.0
33.333152,77.580586,5709.0
33.333152,77.581305,5644.0
33.333152,77.582024,5644.0
33.333152,77.582742,5644.0
33.333152,77.583461,5534.0
33.333152,77.58418,5534.0
33.333152,77.584898,5534.0
33.333152,77.585617,5384.0
33.333152,77.586336,5384.0
33.333152,77.587054,5384.0
33.333152,77.587773,5235.0
33.333152,77.588491,5235.0
33.333152,77.58921,5235.0
33.333152,77.589929,5078.0
33.333152,77.590647,5078.0
33.333152,77.591366,5078.0
33.333152,77.592085,4998.0
33.333152,77.592803,4998.0
33.333152,77.593522,4998.0
33.333152,77.594241,5034.0
33.333152,77.594959,5034.0
33.333152,77.595678,5034.0
33.333152,77.596397,5187.0
33.333152,77.597115,5187.0
33.333152,77.597834,5187.0
33.333152,77.598553,5294.0
33.333152,77.599271,5294.0
33.333152,77.59999,5294.0
33.333152,77.600709,5363.0
33.333152,77.601427,5363.0
33.333152,77.602146,5280.0
33.333152,77.602864,5280.0
33.333152,77.603583,5280.0
33.333152,77.604302,5114.0
33.333152,77.60502,5114.0
33.333152,77.605739,5114.0
33.333152,77.606458,5006.0
33.333152,77.607176,5006.0
33.333152,77.607895,5006.0
